sep=|
Name|Price|Diagonal|Processor|Frequency|Screen|Video|Item|Photo|
Acer Nitro 5 AN515-54 (NH.Q59EU.033)|30999|15.6 дюйм|9750H|2.6-4.5 ГГц|1920x1080 пикс.|4096 Мб|https://price.ua/acer/acer_nitro_5_an515-54_nh_q59eu_033/catc839t14m4306546.html|//i3.price.ua/images/model/839/4306546/2/1/type5/acer_nitro_5_an515-54_nh_q59eu_033_5921824.jpg|
Ноутбук Acer Nitro 5 AN515-54 (NH.Q59EU.018)|28496|15.6 дюйм|Core i5 9300H|2.4-4.1 ГГц|800x480 пикс.|64 Мб|https://price.ua/acer/acer_nitro_5_an515-54_nh_q59eu_018/catc839t14m4116253.html|//i3.price.ua/images/model/839/4116253/2/1/type5/acer_nitro_5_an515-54_nh_q59eu_018_5513393.jpg|
HP ProBook 455 G7 (7JN02AV_V1)|24399|15.6 дюйм|4500U Renoir (Zen 2)|2.3-4.0 ГГц|1920x1080 пикс.|2 кг|https://price.ua/hp/hp_probook_455_g7_7jn02av_v1/catc839t14m4476309.html|//i1.price.ua/images/model/839/4476309/2/1/type5/hp_probook_455_g7_7jn02av_v1_6184090.jpg|
Ультрабук Apple MacBook Pro 13 MXK62|34799|13.3 дюйм|i5-8257U|1.4-3.9 ГГц|2560x1600 пикс.|1.4 кг|https://price.ua/apple/apple_macbook_pro_13_mxk62/catc839t14m4327775.html|//i3.price.ua/images/model/839/4327775/2/1/type5/apple_macbook_pro_13_mxk62_5985509.jpg|
Ноутбук HP ProBook 450 G7 (6YY26AV_V2)|29199|15.6 дюйм|i5-10210U|1.6-4.2 ГГц|1920x1080 пикс.|2 кг|https://price.ua/hp/hp_probook_450_g7_6yy26av_v2/catc839t14m4318301.html|/images/preload.gif|
Ультрабук Apple MacBook Air 13 MWTL2|27189|13.3 дюйм|i3-1000NG4 Ice Lake (10th Gen)|1.1-3.2 ГГц|2560x1600 пикс.|1.29 кг|https://price.ua/apple/apple_macbook_air_13_mwtl2/catc839t14m4303811.html|/images/preload.gif|
Ультрабук HP ProBook 430 G6 (4SP82AV)|23999|13.3 дюйм|i3-8145U|2.1-3.9 ГГц|1920x1080 пикс.|1.49 кг|https://price.ua/hp/hp_probook_430_g6_4sp82av/catc839t14m4201029.html|/images/preload.gif|
Ультрабук Apple MacBook Air 13 MWTJ2|27429|13.3 дюйм|i3-1000NG4 Ice Lake (10th Gen)|1.1-3.2 ГГц|2560x1600 пикс.|1.29 кг|https://price.ua/apple/apple_macbook_air_13_mwtj2/catc839t14m4303815.html|/images/preload.gif|
Ультрабук Apple MacBook Pro 13 MXK32|33948|13.3 дюйм|i5-8257U|1.4-3.9 ГГц|2560x1600 пикс.|1.4 кг|https://price.ua/apple/apple_macbook_pro_13_mxk32/catc839t14m4327769.html|/images/preload.gif|
Ноутбук HP Probook 440 G7 (8VU02EA)|26399|14 дюйм|i5-10210U|1.6-4.2 ГГц|1920x1080 пикс.|1.6 кг|https://price.ua/hp/hp_probook_440_g7_8vu02ea/catc839t14m4315337.html|/images/preload.gif|
Нетбук Acer Swift 3 SF314-57G (NX.HJZEU.006)|33299|14 дюйм|1065G7|1.3-3.9 ГГц|1920x1080 пикс.|2048 Мб|https://price.ua/acer/acer_swift_3_sf314-57g_nx_hjzeu_006/catc839t14m4202132.html|/images/preload.gif|
Ноутбук HP Probook 430 G7 (8VT42EA)|25199|13.3 дюйм|i5-10210U|1.6-4.2 ГГц|1920x1080 пикс.|1.49 кг|https://price.ua/hp/hp_probook_430_g7_8vt42ea/catc839t14m4321686.html|/images/preload.gif|
Ноутбук HP 340S G7 (9HQ31EA)|28699|14 дюйм|i7-1065G7 (Ice Lake)|1.3-3.9 ГГц|1920x1080 пикс.|1.47 кг|https://price.ua/hp/hp_340s_g7_9hq31ea/catc839t14m4306847.html|/images/preload.gif|
