sep=|
Name|Phone|Email|Director|Amount Of Pupils|Post|
Виноградський ліцей Коломийської районної ради Івано-Франківської області|0680361719|vunograd.school@gmail.com|Іванчишин Світлана Василівна|160|Україна, Івано-Франківська область, Коломийський район, с.Виноград, вул. Українська, 17|
Воронський ліцей Коломийської районної ради Івано-Франківської області|(03433)67403|vorona_chkola@ukr.net|Вексей Марія Ярославівна|215|Україна, Івано-Франківська область, Коломийський район, с.Ворона, вул. Марійки Підгірянки, 1|
Гвіздецький ліцей Коломийської районної ради Івано-Франківської області|(03433)61380|schoolg@ukr.net|Рибчинська Любов Дмитрівна|481|Україна, Івано-Франківська область, Коломийський район, смт Гвіздець, вул. Франка, 43|
Голосківська гімназіяКоломийської районної радиІвано-Франківської області|(03433)6-21-48|goloskiv@ukr.net|Боднар Ольга Василівна|156|Україна, Івано-Франківська область, Коломийський район, с.Голосків, вул. Довбуша, 2|
Грабицька гімназія Коломийської районної ради Івано-Франківської області|03433-6-23-41|grabuchzosh@meta.ua|Данилюк Руслана Миколаївна|103|Україна, Івано-Франківська область, Коломийський район, смт Отинія, с.Грабич, вул. Гагаріна, 10|
Джурківська гімназія Коломийської районної ради Івано-Франківської області|(03433)95248|dzurkiv@ukr.net|Сеньків Ярослава Петрівна|117|Україна, Івано-Франківська область, Коломийський район, с.Джурків, вул. Українська, 75|
Загайпільська гімназія Коломийської районної ради  Івано-Франківської області|(03433)65347|zagaypil.scool@ukr.net|Піддубрівний Богдан Михайлович|103|Україна, Івано-Франківська область, Коломийський район, с.Загайпіль, вул. Українська, 13|
Закрівецька початкова школа - філія опорного закладу освіти "Отинійський ліцей"  Коломийської районної ради Івано-Франківської області||zakrivci_school@ukr.net||37|Україна, Івано-Франківська область, Коломийський район, с.Закрівці, вул. Шевченка, 49|
Ковалівський ліцей Коломийської районної ради Івано-Франківської області|(03433)93245|kovalivka-school@ukr.net|Боднарук Оксана Віталіївна|216|Україна, Івано-Франківська область, Коломийський район, с.Ковалівка, вул. Шахтарська, 19|
Корницький ліцей , Коломийської районної ради, Івано-Франківської області|(03334)92445|scoolofkornych@ukr.net|Лапчинський Василь Петрович|208|Україна, Івано-Франківська область, Коломийський район, с.Корнич, вул. Перемоги, 14|
Ліснослобідська гімназія Коломийської районної ради Івано-Франківської області|(03433)99248,  0507740762|ls11@i.ua|Бабинюк Галина Софронівна|154|Україна, Івано-Франківська область, Коломийський район, с.Лісна Слобідка, вул. Центральна, 66|
Ліснохлібичинський ліцей  Коломийської районної ради Івано-Франківської області|(03433)62391|lhskola@ukr.net|Кошик Ганна Дмитрівна|317|Україна, Івано-Франківська область, Коломийський район, с.Лісний Хлібичин, вул. Грушевського, 61|
Молодилівська початкова школа - філія опорного закладу освіти "Отинійський ліцей" Коломийської районної ради Івано-Франківської області|0988085037|murosy1969@ukr.net|Кулька Мирослава Григорівна|11|Україна, Івано-Франківська область, Коломийський район, с.Молодилів, вул. Українки, 44|
Назірнянська початкова школа Коломийської районної ради Івано-Франківської області|(03433)65-2-83|nazirnaschool@gmail.com|Кобацька Ярослава Ярославівна|13|Україна, Івано-Франківська область, Коломийський район, с.Назірна, вул. Шевченка, 1 а|
Опорний заклад освіти "Отинійський ліцей" Коломийської районної ради Івано-Франківської області|(03433)62140|otzosh@ukr.net|Гринів Наталія Михайлівна|860|Україна, Івано-Франківська область, Коломийський район, смт Отинія, вул. Свободи, 18|
